ronde,wedstrijd,thuis,werkelijk_thuis,uit,werkelijk_uit
r16,A,Canada,,Marokko,
r16,B,Paraguay,,Frankrijk,
r16,C,Brazilië,,Noorwegen,
r16,D,Mexico,,Engeland,
r16,E,Portugal,,Spanje,
r16,F,Verenigde Staten,,België,
r16,G,Argentinië,,Egypte,
r16,H,Zwitserland,,Colombia,
qf,1,,,,
qf,2,,,,
qf,3,,,,
qf,4,,,,
sf,X,,,,
sf,Y,,,,
f,F,,,,
